campaign_id,campaign_name,channel,start_date,end_date,budget
1,Display Campaign 1,display,2024-04-23,2024-06-04,19829.92
2,Display Campaign 2,display,2025-05-20,2025-06-05,15427.6
3,Email Campaign 3,email,2025-02-21,2025-03-02,9526.61
4,Search Campaign 4,search,2025-06-06,2025-06-29,12226.66
5,Display Campaign 5,display,2024-09-04,2024-10-15,13088.07
6,Social Campaign 6,social,2025-03-05,2025-03-23,12189.52
7,Email Campaign 7,email,2025-02-05,2025-03-19,2146.67
8,Display Campaign 8,display,2025-06-13,2025-07-22,16179.09
9,Social Campaign 9,social,2024-05-17,2024-05-26,8241.03
10,Display Campaign 10,display,2025-02-16,2025-03-08,4211.44
11,Social Campaign 11,social,2025-05-08,2025-06-13,15606.01
12,Social Campaign 12,social,2025-05-27,2025-06-06,2720.38
13,Display Campaign 13,display,2024-09-15,2024-10-11,7878.67
14,Email Campaign 14,email,2024-05-30,2024-06-21,10103.71
15,Social Campaign 15,social,2024-04-29,2024-06-03,15543.6
