order_id,customer_id,order_date,status,channel
1,1,2025-10-18,completed,mobile
2,1,2025-12-16,completed,web
3,2,2025-09-29,completed,web
4,2,2024-12-23,cancelled,web
5,2,2025-04-30,completed,web
6,3,2025-12-29,completed,web
7,3,2025-12-04,completed,mobile
8,3,2025-12-01,completed,web
9,3,2025-10-31,completed,mobile
10,3,2025-11-03,completed,web
11,3,2025-11-24,pending,web
12,3,2025-11-09,completed,mobile
13,3,2025-12-07,completed,web
14,4,2024-07-25,completed,marketplace
15,4,2025-08-01,pending,web
16,4,2024-09-23,completed,web
17,5,2024-06-14,completed,mobile
18,7,2025-07-19,completed,mobile
19,7,2025-03-13,refunded,marketplace
20,7,2025-11-05,completed,web
21,7,2024-08-21,completed,web
22,7,2024-08-15,completed,mobile
23,8,2025-09-25,completed,marketplace
24,8,2025-09-10,completed,marketplace
25,9,2025-06-22,completed,web
26,10,2025-12-27,completed,marketplace
27,11,2025-11-16,completed,web
28,11,2025-12-27,completed,mobile
29,11,2025-10-25,cancelled,mobile
30,11,2025-10-28,completed,web
31,11,2025-12-17,completed,web
32,12,2025-12-11,completed,marketplace
33,13,2025-11-05,completed,web
34,14,2025-12-07,completed,web
35,14,2025-12-24,pending,web
36,16,2025-08-05,completed,mobile
37,17,2025-09-18,completed,web
38,17,2025-03-23,completed,mobile
39,17,2025-05-11,completed,web
40,17,2024-07-31,completed,mobile
41,17,2025-11-12,completed,web
42,17,2025-04-11,completed,mobile
43,17,2025-08-09,cancelled,web
44,17,2024-12-29,completed,web
45,18,2025-07-26,completed,mobile
46,18,2025-10-10,completed,web
47,18,2025-08-01,completed,mobile
48,19,2025-10-04,completed,mobile
49,20,2025-07-03,completed,mobile
50,20,2025-02-24,completed,web
51,20,2024-04-13,completed,mobile
52,20,2025-02-12,completed,web
53,20,2024-05-24,refunded,web
54,21,2025-08-30,completed,web
55,21,2025-02-07,completed,web
56,21,2025-12-31,completed,marketplace
57,21,2025-04-27,completed,web
58,21,2025-12-19,completed,mobile
59,21,2025-05-23,refunded,web
60,21,2025-10-20,completed,web
61,21,2025-02-16,completed,web
62,22,2024-08-24,completed,mobile
63,22,2025-09-17,refunded,web
64,22,2025-04-01,completed,marketplace
65,24,2025-10-13,cancelled,mobile
66,25,2025-05-17,pending,web
67,25,2025-09-27,completed,mobile
68,25,2025-05-07,completed,web
69,26,2025-04-29,completed,web
70,27,2025-05-18,completed,web
71,28,2025-11-19,cancelled,web
72,28,2024-12-23,completed,mobile
73,30,2025-09-27,completed,web
74,30,2025-05-12,completed,marketplace
75,30,2025-10-11,completed,web
76,31,2024-12-25,completed,mobile
77,31,2025-10-24,completed,web
78,32,2024-06-06,pending,web
79,32,2024-05-20,completed,web
80,32,2024-08-31,completed,mobile
81,32,2024-05-23,completed,web
82,32,2024-10-02,completed,web
83,33,2024-11-11,refunded,web
84,33,2025-05-11,completed,marketplace
85,34,2025-08-16,completed,web
86,35,2025-12-30,completed,mobile
87,35,2025-12-31,completed,mobile
88,36,2025-01-07,completed,mobile
89,37,2025-05-03,completed,marketplace
90,37,2025-07-21,completed,web
91,38,2025-12-31,completed,marketplace
92,39,2025-03-19,completed,mobile
93,39,2025-08-21,completed,web
94,39,2025-09-16,completed,mobile
95,39,2025-04-16,completed,mobile
96,39,2025-04-01,completed,web
97,40,2024-10-26,completed,web
98,41,2025-05-17,completed,web
99,41,2025-02-11,completed,mobile
100,41,2025-11-09,completed,mobile
