payment_id,order_id,payment_date,amount,payment_method,status
1,1,2025-10-20,75.89,credit_card,success
2,2,2025-12-17,1414.56,credit_card,success
3,3,2025-09-30,3005.27,credit_card,success
4,5,2025-05-02,278.82,credit_card,success
5,6,2025-12-29,2258.76,credit_card,success
6,7,2025-12-04,772.48,credit_card,success
7,8,2025-12-02,3418.56,credit_card,success
8,9,2025-11-01,897.72,gift_card,success
9,10,2025-11-04,143.06,paypal,success
10,12,2025-11-11,2714.22,credit_card,success
11,13,2025-12-09,4191.12,credit_card,success
12,14,2024-07-25,1166.73,paypal,success
13,16,2024-09-23,110.29,credit_card,success
14,17,2024-06-14,1696.25,paypal,success
15,18,2025-07-20,2852.12,paypal,success
16,19,2025-03-15,310.34,credit_card,refunded
17,20,2025-11-05,2436.92,paypal,success
18,21,2024-08-22,1375.56,paypal,success
19,22,2024-08-17,592.77,credit_card,success
20,23,2025-09-26,842.83,paypal,success
21,24,2025-09-10,2215.26,paypal,success
22,25,2025-06-24,1389.3,credit_card,success
23,26,2025-12-27,1204.9,credit_card,success
24,27,2025-11-16,1376.04,credit_card,success
25,28,2025-12-29,1345.11,credit_card,success
26,30,2025-10-29,2558.0,paypal,success
27,31,2025-12-17,2720.69,credit_card,success
28,32,2025-12-12,1570.5,credit_card,success
29,33,2025-11-06,129.82,credit_card,success
30,34,2025-12-08,1524.06,credit_card,success
31,36,2025-08-07,289.81,credit_card,success
32,37,2025-09-19,1046.07,paypal,success
33,38,2025-03-23,2579.38,credit_card,success
34,39,2025-05-12,2862.03,paypal,success
35,40,2024-07-31,2242.1,paypal,success
36,41,2025-11-13,48.96,credit_card,success
37,42,2025-04-11,1396.95,credit_card,success
38,44,2024-12-30,1544.24,credit_card,success
39,45,2025-07-26,1680.85,paypal,success
40,46,2025-10-10,2488.33,credit_card,success
41,47,2025-08-03,1789.22,paypal,success
42,48,2025-10-04,1289.85,gift_card,success
43,49,2025-07-03,2778.27,credit_card,success
44,50,2025-02-26,2258.62,paypal,success
45,51,2024-04-13,44.48,credit_card,success
46,52,2025-02-14,1211.6,credit_card,success
47,53,2024-05-24,761.22,credit_card,refunded
48,54,2025-08-30,213.94,credit_card,success
49,55,2025-02-08,1420.33,paypal,success
50,56,2026-01-02,3172.78,credit_card,success
51,57,2025-04-29,3730.65,credit_card,success
52,58,2025-12-20,2962.36,gift_card,success
53,59,2025-05-23,3167.82,credit_card,refunded
54,60,2025-10-21,1014.68,credit_card,success
55,61,2025-02-16,1114.6,gift_card,success
56,62,2024-08-24,1318.91,paypal,success
57,63,2025-09-17,2550.66,credit_card,refunded
58,64,2025-04-03,1771.18,paypal,success
59,67,2025-09-29,3897.14,credit_card,success
60,68,2025-05-07,1038.3,credit_card,success
61,69,2025-05-01,269.25,credit_card,success
62,70,2025-05-19,94.07,paypal,success
63,72,2024-12-23,2080.8,paypal,success
64,73,2025-09-27,653.56,credit_card,success
65,74,2025-05-13,315.66,paypal,success
66,75,2025-10-11,2032.77,credit_card,success
67,76,2024-12-27,3592.91,credit_card,success
68,77,2025-10-24,873.49,gift_card,success
69,79,2024-05-20,1258.56,credit_card,success
70,80,2024-09-01,3346.64,credit_card,success
71,81,2024-05-23,269.3,credit_card,success
72,82,2024-10-03,872.8,credit_card,success
73,83,2024-11-13,2872.28,credit_card,refunded
74,84,2025-05-11,1010.41,paypal,success
75,85,2025-08-16,783.38,paypal,success
76,86,2026-01-01,1263.27,paypal,success
77,87,2025-12-31,872.24,credit_card,success
78,88,2025-01-09,939.01,paypal,success
79,89,2025-05-03,2334.29,paypal,success
80,90,2025-07-22,455.51,paypal,success
81,91,2026-01-02,3084.65,credit_card,success
82,92,2025-03-20,2699.98,credit_card,success
83,93,2025-08-23,2749.09,credit_card,success
84,94,2025-09-17,2007.96,credit_card,success
85,95,2025-04-16,4970.7,credit_card,success
86,96,2025-04-03,3490.85,paypal,success
87,97,2024-10-27,2304.84,credit_card,success
88,98,2025-05-17,1720.16,credit_card,success
89,99,2025-02-12,941.22,credit_card,success
90,100,2025-11-09,2144.25,credit_card,success
91,101,2025-12-30,426.63,paypal,success
92,102,2025-10-19,687.15,paypal,success
93,104,2025-09-23,1873.58,credit_card,success
94,105,2025-09-17,1083.4,credit_card,success
95,106,2025-12-09,2751.7,credit_card,refunded
96,107,2025-12-13,1182.84,credit_card,success
97,108,2025-04-26,1188.73,paypal,success
98,109,2025-07-28,2180.96,credit_card,success
99,110,2024-08-19,1631.56,credit_card,success
100,111,2024-09-21,1601.92,paypal,success
101,112,2025-12-17,2270.0,credit_card,success
102,115,2024-12-22,117.28,credit_card,success
103,116,2024-09-12,1553.58,credit_card,success
104,117,2025-12-29,1621.85,credit_card,success
105,118,2025-12-28,2183.89,credit_card,success
106,120,2025-12-25,1651.5,paypal,success
107,122,2025-03-02,1316.71,credit_card,success
108,123,2025-09-22,2813.26,credit_card,success
109,124,2025-12-28,362.82,paypal,success
110,125,2025-08-05,474.76,gift_card,success
111,126,2024-09-05,1371.25,credit_card,success
112,127,2025-12-04,774.61,credit_card,success
113,128,2024-11-08,859.84,gift_card,success
114,129,2025-05-16,356.04,credit_card,refunded
115,130,2024-10-25,1761.3,credit_card,success
116,131,2025-02-02,2499.66,credit_card,success
117,132,2024-09-27,2376.29,credit_card,success
118,133,2025-12-02,1823.28,credit_card,success
119,134,2025-04-02,1937.15,paypal,success
120,135,2025-11-23,2088.11,paypal,success
121,136,2025-10-27,513.1,paypal,success
122,137,2025-09-05,3262.0,credit_card,success
123,138,2024-08-11,566.31,paypal,success
124,139,2025-06-03,1164.3,credit_card,success
125,140,2024-07-12,717.54,credit_card,success
126,141,2025-04-12,2674.78,gift_card,success
127,143,2025-03-24,1378.07,credit_card,refunded
128,144,2025-06-14,2110.48,credit_card,refunded
129,145,2024-10-12,1862.98,paypal,success
130,146,2024-10-26,3144.87,credit_card,refunded
131,147,2025-09-08,1740.32,credit_card,success
132,148,2025-12-06,135.47,paypal,success
133,149,2025-10-13,644.57,credit_card,success
134,150,2024-01-12,3530.06,credit_card,success
135,151,2025-07-29,1570.19,paypal,success
136,152,2025-10-24,1751.65,paypal,success
137,154,2025-05-11,1622.88,credit_card,success
138,155,2025-09-13,254.82,credit_card,success
139,156,2025-08-30,752.41,credit_card,success
140,157,2025-06-10,2249.81,paypal,success
141,158,2025-10-08,810.04,credit_card,success
142,159,2025-11-20,2455.35,credit_card,success
143,160,2025-07-30,1569.14,credit_card,success
144,161,2025-04-15,94.08,credit_card,success
145,163,2025-03-31,931.5,paypal,success
146,164,2024-08-18,2426.6,paypal,success
147,165,2024-11-09,870.11,paypal,success
148,166,2025-12-05,3538.44,credit_card,success
149,167,2024-08-28,1748.14,credit_card,success
150,168,2025-06-11,34.46,paypal,refunded
151,169,2024-10-17,3776.85,gift_card,success
152,170,2024-11-10,2551.97,paypal,success
153,172,2025-04-15,2056.38,credit_card,success
154,173,2025-09-10,3200.06,credit_card,success
155,175,2025-12-02,517.24,paypal,success
156,177,2025-05-11,2702.13,credit_card,success
157,179,2025-04-08,4128.86,credit_card,success
158,180,2025-02-06,1134.64,credit_card,success
159,181,2025-12-01,185.95,paypal,refunded
160,182,2025-08-23,2627.12,credit_card,success
161,183,2025-06-10,3618.83,credit_card,refunded
162,186,2025-04-12,1651.07,credit_card,success
163,187,2024-11-25,416.0,credit_card,success
164,189,2025-01-17,1257.72,paypal,success
165,190,2025-11-02,1644.38,credit_card,refunded
166,191,2025-08-27,424.8,credit_card,success
167,192,2025-11-19,873.61,credit_card,success
168,193,2025-01-21,1510.1,credit_card,success
169,194,2025-11-28,1935.75,credit_card,success
170,195,2024-09-28,335.74,credit_card,success
171,196,2024-09-29,2825.59,paypal,success
172,197,2025-10-19,1335.11,credit_card,success
173,198,2025-12-18,3149.87,paypal,success
174,199,2024-05-12,1106.91,credit_card,success
175,200,2024-03-25,1027.3,paypal,success
176,201,2024-07-10,63.36,credit_card,success
177,202,2024-08-29,93.6,credit_card,success
178,203,2025-05-20,132.48,credit_card,success
179,204,2025-12-27,2121.41,paypal,success
180,205,2025-03-14,20.02,credit_card,success
181,206,2025-11-26,1872.72,credit_card,success
182,207,2025-04-01,2389.35,paypal,success
183,208,2025-11-28,2975.51,credit_card,success
184,209,2025-12-27,1090.88,credit_card,success
185,210,2025-12-18,2012.7,credit_card,success
186,211,2025-12-27,4061.53,credit_card,success
187,213,2024-09-11,425.92,paypal,success
188,214,2024-04-20,1375.35,credit_card,success
189,216,2024-09-20,407.25,credit_card,refunded
190,217,2025-08-14,644.65,paypal,success
191,218,2025-01-28,3385.58,paypal,success
192,219,2025-05-23,1824.68,credit_card,success
193,220,2024-08-01,2474.02,credit_card,refunded
194,222,2025-10-21,1081.56,credit_card,success
195,224,2025-12-14,1797.54,credit_card,success
196,225,2025-09-03,1569.11,credit_card,success
197,226,2024-10-17,555.0,credit_card,success
198,227,2025-10-11,807.75,credit_card,success
199,230,2025-03-16,2269.85,credit_card,success
200,231,2024-09-01,1199.88,credit_card,success
201,232,2025-12-16,1020.16,credit_card,success
202,233,2024-08-10,1814.12,credit_card,success
203,234,2026-01-02,1198.87,paypal,success
204,235,2025-12-26,2099.16,gift_card,success
205,236,2025-12-21,292.94,credit_card,success
206,237,2025-12-13,2222.65,credit_card,success
207,238,2025-11-09,276.51,paypal,refunded
208,239,2025-03-08,2030.47,credit_card,success
209,240,2025-09-11,1173.04,gift_card,success
210,241,2025-10-13,1473.42,credit_card,success
211,242,2025-12-15,6172.92,credit_card,success
212,243,2024-09-16,1643.66,paypal,success
213,244,2025-12-06,533.26,credit_card,success
214,245,2025-07-09,1623.16,gift_card,success
215,246,2025-09-26,3901.87,credit_card,success
216,247,2025-10-10,1089.9,credit_card,success
217,248,2025-12-10,2308.87,credit_card,refunded
218,249,2025-09-11,299.28,credit_card,success
219,250,2025-04-23,1181.76,credit_card,success
220,251,2025-04-25,595.04,credit_card,success
221,252,2025-02-03,2526.6,paypal,success
222,253,2025-03-13,1918.32,credit_card,refunded
223,254,2025-10-01,2313.91,credit_card,success
224,255,2025-10-18,1481.68,paypal,success
225,256,2025-12-04,2137.01,credit_card,success
226,257,2025-01-15,320.56,paypal,success
227,258,2025-09-09,2957.32,credit_card,success
228,259,2025-07-23,2287.42,credit_card,success
229,260,2025-08-16,2479.94,credit_card,success
230,261,2025-07-24,2930.19,paypal,success
231,262,2024-10-16,1197.12,gift_card,success
232,263,2025-06-17,1525.74,credit_card,success
233,265,2024-11-28,1514.25,credit_card,success
234,266,2025-08-31,493.0,credit_card,success
235,267,2024-11-26,2970.95,credit_card,success
236,268,2025-08-25,5012.97,credit_card,success
237,269,2025-12-30,539.09,credit_card,success
238,270,2025-04-20,53.84,credit_card,success
239,271,2024-10-06,610.94,credit_card,success
240,272,2025-08-04,9.45,credit_card,success
241,273,2024-11-17,269.27,credit_card,success
242,274,2025-03-30,377.71,credit_card,success
243,275,2025-06-17,864.89,credit_card,success
244,276,2025-03-09,2456.06,credit_card,success
245,278,2025-12-30,3927.49,credit_card,success
246,281,2025-06-26,1403.33,credit_card,success
247,283,2025-11-16,116.1,credit_card,success
248,286,2025-12-20,1238.91,credit_card,success
249,287,2024-08-23,3831.15,credit_card,success
250,288,2024-10-20,1067.76,gift_card,success
251,289,2024-11-16,369.75,credit_card,success
252,290,2025-11-21,1820.94,credit_card,success
253,291,2025-05-19,990.56,paypal,success
254,292,2025-09-20,641.32,paypal,success
255,293,2025-01-26,1897.78,credit_card,success
256,294,2025-09-03,1848.6,credit_card,success
257,295,2025-11-04,2193.32,credit_card,success
258,297,2025-12-13,2661.34,paypal,refunded
259,298,2025-03-04,4392.5,paypal,success
260,299,2025-04-30,981.41,credit_card,success
261,300,2025-10-07,2692.72,credit_card,refunded
262,301,2025-01-13,3464.19,credit_card,success
263,302,2024-09-07,757.56,credit_card,success
264,303,2025-01-09,2793.53,credit_card,success
265,304,2024-06-28,2342.49,paypal,success
266,305,2025-07-15,2362.35,credit_card,success
267,307,2025-04-24,2594.04,paypal,success
268,308,2025-11-03,2253.45,credit_card,success
269,309,2024-10-19,991.73,credit_card,success
270,310,2025-10-12,44.48,credit_card,refunded
271,311,2025-08-27,49.38,credit_card,success
272,312,2025-08-18,3451.7,credit_card,success
273,313,2025-04-27,1597.92,credit_card,success
274,314,2025-12-24,2243.47,credit_card,success
275,315,2025-07-07,345.54,paypal,refunded
276,317,2025-05-14,2969.69,credit_card,success
277,319,2025-03-17,139.72,paypal,success
278,320,2025-03-14,644.02,credit_card,success
279,321,2025-08-07,808.98,credit_card,success
280,323,2025-07-03,1835.96,credit_card,success
281,324,2025-07-04,953.78,credit_card,success
282,325,2025-10-30,1067.18,credit_card,success
283,326,2025-10-20,805.52,paypal,success
284,327,2025-11-08,3377.13,credit_card,success
285,328,2025-08-15,3496.49,credit_card,success
286,329,2025-11-12,2300.35,paypal,success
287,330,2025-08-25,1661.07,paypal,success
288,331,2025-09-14,1042.56,credit_card,refunded
289,332,2025-12-30,1394.89,credit_card,success
290,333,2025-08-26,723.32,credit_card,success
291,334,2025-08-22,457.36,paypal,success
292,336,2025-12-21,223.61,paypal,success
293,337,2025-08-28,779.46,paypal,success
294,338,2025-12-09,665.93,gift_card,success
295,339,2025-09-12,2442.78,credit_card,success
296,340,2025-10-29,5608.14,credit_card,refunded
297,341,2025-04-10,2078.65,credit_card,success
298,342,2024-11-12,3386.46,paypal,success
299,343,2025-11-20,1551.84,credit_card,success
300,344,2025-01-29,1230.32,credit_card,success
301,345,2025-09-15,2373.88,credit_card,success
302,346,2025-06-11,783.51,credit_card,success
303,347,2025-01-20,1684.23,credit_card,success
304,348,2025-04-26,2533.9,gift_card,success
305,349,2025-11-19,1056.3,credit_card,success
306,350,2024-12-03,2721.44,credit_card,success
307,352,2025-08-25,544.44,paypal,success
308,353,2025-03-09,1775.53,credit_card,success
309,354,2025-12-10,1882.05,paypal,success
310,355,2025-04-24,538.26,credit_card,success
311,356,2025-02-22,3373.19,credit_card,success
312,357,2025-03-20,100.85,paypal,success
313,358,2025-10-18,1846.38,credit_card,success
314,359,2025-02-24,1745.54,credit_card,success
315,360,2025-10-08,196.77,paypal,success
316,361,2025-10-20,3384.89,credit_card,success
317,362,2025-09-09,1304.07,credit_card,success
318,363,2025-09-27,1829.3,credit_card,success
319,364,2025-10-01,1153.66,credit_card,success
320,365,2025-10-25,2171.36,credit_card,success
321,367,2025-09-26,2499.8,credit_card,refunded
322,368,2025-02-05,2490.6,credit_card,success
323,369,2025-04-02,3233.79,credit_card,refunded
324,370,2025-09-04,2997.08,credit_card,success
325,371,2024-09-24,2899.55,credit_card,success
326,373,2025-11-14,2852.15,credit_card,refunded
327,374,2025-12-29,1330.87,credit_card,success
328,375,2025-12-19,2653.24,paypal,success
329,376,2026-01-02,2652.31,paypal,success
330,377,2025-12-30,1789.42,paypal,success
331,379,2025-03-06,2016.11,credit_card,success
332,380,2025-07-14,732.76,credit_card,success
333,381,2025-04-17,1001.16,paypal,success
334,382,2025-09-07,1882.22,credit_card,success
335,383,2025-09-15,2239.22,paypal,success
336,384,2025-08-06,4198.27,credit_card,success
337,385,2025-06-10,2208.96,credit_card,success
338,387,2025-11-02,882.66,credit_card,success
339,388,2024-11-19,516.11,paypal,success
340,389,2025-08-19,1101.29,credit_card,success
341,390,2025-03-06,2278.49,paypal,success
342,391,2025-09-24,2811.32,paypal,success
343,392,2025-03-01,328.08,paypal,success
344,394,2025-03-31,235.49,credit_card,success
345,395,2024-05-19,1719.04,paypal,success
346,396,2025-02-22,85.36,credit_card,success
347,397,2024-03-13,1409.5,paypal,success
348,398,2024-05-31,5325.08,credit_card,success
349,399,2025-11-17,870.72,credit_card,success
350,400,2025-05-04,1969.67,gift_card,success
351,401,2025-04-19,1157.25,credit_card,success
352,402,2024-08-10,2686.9,credit_card,success
353,404,2025-12-26,911.91,gift_card,success
354,405,2025-12-25,1032.66,credit_card,success
355,407,2025-11-18,657.14,paypal,success
356,408,2025-10-21,4200.13,credit_card,success
357,409,2025-09-21,3009.61,gift_card,success
358,411,2025-11-02,1897.28,credit_card,success
359,412,2025-12-20,570.59,paypal,success
360,413,2025-07-10,875.67,credit_card,success
361,414,2024-10-30,1405.78,paypal,refunded
362,415,2025-07-28,2253.09,credit_card,refunded
363,416,2025-01-07,285.08,credit_card,success
364,417,2025-10-19,2033.12,paypal,success
365,418,2025-04-16,739.44,credit_card,success
366,419,2025-12-21,1863.26,credit_card,success
367,420,2025-12-16,1794.91,credit_card,success
368,421,2025-12-08,3031.47,credit_card,success
369,422,2025-12-05,1309.49,credit_card,success
370,423,2025-12-04,118.0,credit_card,success
371,424,2025-07-28,2950.25,credit_card,success
372,425,2025-03-14,4251.95,credit_card,success
373,426,2025-08-30,874.13,paypal,success
374,427,2025-11-23,1676.36,credit_card,success
375,429,2024-05-25,3656.0,paypal,success
376,430,2024-05-13,278.72,credit_card,success
377,431,2025-10-12,1133.48,gift_card,success
378,432,2025-12-19,2297.04,credit_card,success
379,433,2025-11-23,1471.11,paypal,success
380,434,2025-09-19,890.67,credit_card,success
381,435,2025-09-17,1094.76,credit_card,refunded
382,436,2025-09-24,2363.94,credit_card,success
383,438,2025-12-01,4259.0,paypal,success
384,439,2025-10-09,1450.45,paypal,success
385,440,2025-10-23,3307.84,credit_card,refunded
386,441,2025-07-12,945.47,credit_card,success
387,442,2025-09-11,45.61,credit_card,success
388,443,2025-08-15,1723.12,credit_card,success
389,444,2025-08-04,4419.2,credit_card,success
390,445,2025-07-03,2056.59,credit_card,success
391,446,2025-08-07,3198.44,paypal,success
392,447,2025-08-16,1859.94,credit_card,success
393,448,2025-11-26,1486.61,paypal,success
394,449,2025-12-21,435.47,credit_card,success
395,450,2025-12-16,1701.63,paypal,success
396,451,2025-12-26,304.76,paypal,success
397,452,2025-07-06,604.2,paypal,success
398,454,2025-12-07,3865.08,credit_card,success
399,458,2024-12-24,1499.43,credit_card,success
400,459,2025-12-07,1071.81,credit_card,refunded
401,460,2025-06-20,4101.44,credit_card,success
402,461,2025-01-18,2188.39,credit_card,success
403,463,2025-03-13,1044.03,paypal,success
404,464,2025-08-22,1993.74,paypal,success
405,465,2024-09-08,809.29,paypal,success
406,466,2025-08-15,304.26,credit_card,success
407,467,2025-07-09,283.38,credit_card,success
408,468,2024-07-15,1708.82,credit_card,success
409,469,2025-12-30,1354.92,paypal,success
410,470,2025-12-18,1226.79,credit_card,success
411,471,2025-09-28,3662.61,credit_card,success
412,472,2025-09-24,4319.56,credit_card,success
413,473,2025-10-29,1240.76,credit_card,success
414,474,2025-09-06,1135.32,paypal,success
415,475,2025-09-30,2612.13,credit_card,success
416,476,2025-09-26,3316.98,credit_card,success
417,477,2025-02-27,2339.81,credit_card,success
418,479,2025-09-07,829.29,paypal,success
419,480,2025-10-29,919.49,credit_card,refunded
420,481,2024-11-06,1363.34,credit_card,success
421,482,2025-02-17,1923.71,paypal,success
422,484,2025-12-01,1773.34,credit_card,success
423,485,2025-08-01,3111.71,credit_card,success
424,486,2025-10-26,2113.69,credit_card,success
425,487,2025-10-30,493.0,credit_card,success
426,488,2025-11-24,2467.36,credit_card,success
427,489,2025-08-15,1747.19,credit_card,success
428,490,2025-12-26,2318.62,credit_card,success
429,492,2025-11-29,2310.21,credit_card,success
430,493,2025-07-31,3016.88,credit_card,success
431,494,2025-09-08,1027.7,credit_card,success
432,495,2025-09-14,804.35,credit_card,success
433,496,2025-08-15,687.2,gift_card,success
434,497,2025-10-31,2822.08,credit_card,success
435,498,2025-12-28,1422.88,credit_card,success
436,499,2025-12-28,1039.8,credit_card,success
437,500,2025-12-29,3111.42,credit_card,success
438,501,2025-02-11,3694.39,credit_card,success
439,502,2025-11-24,1477.85,credit_card,success
440,503,2025-09-29,103.47,credit_card,success
