session_id,customer_id,session_start,session_end,device,landing_page,marketing_campaign_id,converted
1,1011,2024-06-24 04:16:52,2024-06-24 04:57:52,mobile,/blog,,False
2,196,2025-09-14 14:38:45,2025-09-14 15:08:45,tablet,/category/electronics,,False
3,,2025-10-31 15:34:19,2025-10-31 16:04:19,desktop,/category/apparel,1,False
4,,2024-10-27 18:03:35,2024-10-27 18:32:35,mobile,/blog,7,False
5,1192,2025-07-21 14:28:36,2025-07-21 14:37:36,mobile,/home,,False
6,775,2025-08-10 03:18:39,2025-08-10 03:25:39,mobile,/deals,,False
7,,2025-01-28 15:46:38,2025-01-28 16:06:38,mobile,/blog,,False
8,1282,2025-09-27 11:16:20,2025-09-27 11:20:20,mobile,/category/electronics,,True
9,,2025-04-12 21:08:39,2025-04-12 21:32:39,mobile,/blog,2,False
10,1424,2025-12-11 11:39:41,2025-12-11 12:08:41,mobile,/category/apparel,,True
11,485,2025-11-26 06:31:26,2025-11-26 07:03:26,mobile,/blog,,False
12,,2025-04-12 20:25:20,2025-04-12 21:09:20,mobile,/home,1,False
13,,2024-05-05 02:13:05,2024-05-05 02:34:05,tablet,/blog,,False
14,527,2025-11-12 13:01:46,2025-11-12 13:37:46,mobile,/home,15,False
15,683,2024-11-22 13:48:52,2024-11-22 14:09:52,desktop,/deals,,False
16,,2025-09-07 04:16:08,2025-09-07 04:27:08,tablet,/blog,6,False
17,,2025-09-02 05:18:55,2025-09-02 05:51:55,desktop,/product-search,12,False
18,,2024-12-17 08:26:54,2024-12-17 09:00:54,desktop,/category/apparel,11,False
19,264,2025-04-22 03:04:58,2025-04-22 03:22:58,mobile,/blog,,True
20,,2024-03-30 10:30:46,2024-03-30 10:53:46,tablet,/category/electronics,,False
21,1393,2025-09-27 05:10:02,2025-09-27 05:43:02,mobile,/home,,False
22,1429,2025-07-24 09:19:58,2025-07-24 09:24:58,mobile,/product-search,,True
23,,2025-02-28 22:56:24,2025-02-28 23:05:24,mobile,/blog,5,False
24,,2025-07-29 13:30:04,2025-07-29 13:44:04,tablet,/blog,,False
25,,2024-11-20 06:43:37,2024-11-20 07:20:37,mobile,/product-search,5,False
26,,2024-01-31 07:54:05,2024-01-31 07:55:05,desktop,/deals,,False
27,882,2025-11-16 10:51:15,2025-11-16 11:09:15,mobile,/category/electronics,5,False
28,,2024-04-15 06:10:37,2024-04-15 06:50:37,tablet,/home,12,False
29,1287,2025-04-14 18:02:20,2025-04-14 18:34:20,tablet,/home,2,False
30,800,2025-09-21 16:47:49,2025-09-21 17:03:49,mobile,/deals,,True
31,,2025-09-01 01:15:16,2025-09-01 01:59:16,tablet,/home,10,False
32,927,2025-07-18 04:35:41,2025-07-18 05:08:41,tablet,/category/apparel,14,False
33,732,2025-12-27 21:29:12,2025-12-27 21:47:12,mobile,/deals,3,False
34,781,2025-12-30 06:12:01,2025-12-30 06:51:01,desktop,/category/apparel,14,False
35,593,2025-09-26 12:44:00,2025-09-26 12:52:00,mobile,/product-search,10,False
36,491,2025-11-03 14:30:05,2025-11-03 14:49:05,desktop,/category/apparel,,False
37,459,2025-07-05 11:36:04,2025-07-05 12:02:04,mobile,/category/apparel,1,False
38,280,2025-11-17 12:36:36,2025-11-17 12:52:36,desktop,/home,14,False
39,1119,2025-12-15 09:42:03,2025-12-15 09:47:03,desktop,/home,,True
40,1078,2025-11-27 20:37:33,2025-11-27 21:04:33,tablet,/deals,,False
41,85,2025-12-26 03:37:40,2025-12-26 03:39:40,tablet,/deals,2,False
42,660,2024-12-26 20:07:07,2024-12-26 20:36:07,mobile,/product-search,,False
43,,2024-04-10 14:48:34,2024-04-10 15:05:34,tablet,/deals,1,False
44,1476,2024-12-14 05:45:09,2024-12-14 06:07:09,desktop,/blog,,False
45,1077,2025-01-30 11:24:10,2025-01-30 11:31:10,mobile,/home,,False
46,504,2025-07-27 01:04:35,2025-07-27 01:15:35,desktop,/category/electronics,,False
47,1497,2025-04-14 03:40:17,2025-04-14 03:48:17,mobile,/category/electronics,13,False
48,1409,2024-07-17 03:01:30,2024-07-17 03:05:30,mobile,/blog,,False
49,,2025-01-25 13:28:53,2025-01-25 13:35:53,mobile,/blog,,False
50,,2024-11-19 13:05:21,2024-11-19 13:32:21,mobile,/deals,,True
51,,2025-08-04 17:14:45,2025-08-04 17:51:45,mobile,/category/electronics,,False
52,69,2025-03-07 23:40:29,2025-03-07 23:47:29,mobile,/blog,,False
53,674,2025-08-08 04:06:14,2025-08-08 04:49:14,mobile,/product-search,15,True
54,549,2024-10-14 16:58:18,2024-10-14 17:26:18,tablet,/product-search,,False
55,1407,2025-11-16 21:43:39,2025-11-16 21:55:39,desktop,/home,13,False
56,1383,2025-11-22 02:40:24,2025-11-22 03:16:24,mobile,/home,,True
57,1467,2025-12-25 18:33:24,2025-12-25 18:44:24,tablet,/home,,False
58,268,2025-08-24 13:20:23,2025-08-24 13:46:23,tablet,/category/electronics,,True
59,1254,2025-08-27 11:50:45,2025-08-27 12:02:45,mobile,/category/electronics,5,True
60,803,2025-09-18 12:43:58,2025-09-18 12:51:58,tablet,/deals,,True
61,,2024-10-18 21:06:33,2024-10-18 21:36:33,tablet,/product-search,,False
62,,2025-11-19 06:30:16,2025-11-19 07:10:16,desktop,/deals,,False
63,595,2025-10-06 09:11:28,2025-10-06 09:55:28,tablet,/deals,,False
64,438,2025-10-14 19:19:33,2025-10-14 19:24:33,tablet,/home,,False
65,177,2025-08-28 20:33:55,2025-08-28 21:07:55,tablet,/home,,False
66,321,2025-05-14 14:31:30,2025-05-14 15:08:30,desktop,/deals,,False
67,,2025-07-27 16:04:49,2025-07-27 16:32:49,mobile,/category/apparel,14,False
68,423,2025-06-21 22:12:09,2025-06-21 22:44:09,desktop,/deals,,False
69,,2024-12-26 09:53:21,2024-12-26 10:38:21,tablet,/blog,,True
70,367,2025-12-26 06:26:25,2025-12-26 06:28:25,mobile,/blog,,False
71,1016,2025-10-18 00:32:15,2025-10-18 00:45:15,desktop,/category/apparel,,False
72,57,2025-08-14 02:28:37,2025-08-14 02:32:37,tablet,/home,,True
73,1296,2025-12-13 07:32:39,2025-12-13 07:33:39,mobile,/product-search,,False
74,,2024-03-01 07:34:42,2024-03-01 08:19:42,tablet,/blog,,False
75,,2024-12-01 14:44:30,2024-12-01 14:51:30,desktop,/product-search,,False
76,1078,2025-08-17 15:49:30,2025-08-17 16:21:30,desktop,/product-search,,False
77,1033,2025-07-01 05:30:05,2025-07-01 05:33:05,mobile,/deals,12,False
78,,2025-12-01 19:05:20,2025-12-01 19:38:20,mobile,/blog,,False
