subscription_id,user_id,plan,mrr,start_date,end_date,status
1,3,pro,99.0,2025-10-20,,active
2,63,starter,29.0,2024-09-04,2025-07-20,churned
3,79,enterprise,299.0,2025-07-11,2025-10-07,churned
4,119,starter,29.0,2025-01-18,2025-03-31,churned
5,122,pro,99.0,2025-09-27,2026-01-21,churned
6,164,pro,99.0,2025-11-04,,active
7,177,pro,99.0,2024-07-24,2025-09-30,churned
8,192,starter,29.0,2025-04-21,,active
9,197,pro,99.0,2025-02-28,,active
10,204,starter,29.0,2026-01-21,,active
11,211,starter,29.0,2025-11-20,,active
12,231,starter,29.0,2025-04-27,2025-12-06,churned
13,235,pro,99.0,2025-04-20,,active
14,246,pro,99.0,2025-05-12,,active
15,249,pro,99.0,2026-01-29,,active
16,252,enterprise,299.0,2025-12-29,2026-01-31,churned
17,267,starter,29.0,2025-10-20,,active
18,271,starter,29.0,2025-07-10,2025-10-16,churned
19,272,starter,29.0,2025-08-04,,active
20,307,starter,29.0,2025-02-17,2025-07-27,churned
21,314,starter,29.0,2025-11-03,,active
22,317,starter,29.0,2025-04-09,2025-11-02,churned
23,318,starter,29.0,2025-10-27,,active
24,319,starter,29.0,2024-11-13,2025-09-20,churned
25,345,starter,29.0,2025-10-04,,active
26,346,pro,99.0,2025-10-04,,active
27,366,enterprise,299.0,2025-05-25,,active
28,385,starter,29.0,2025-03-26,,active
29,396,pro,99.0,2025-12-13,,active
30,407,enterprise,299.0,2025-10-22,,active
31,440,pro,99.0,2025-08-13,,active
32,477,starter,29.0,2025-03-06,2025-08-20,churned
33,478,enterprise,299.0,2025-12-09,,active
34,516,pro,99.0,2024-12-24,2025-05-03,churned
35,519,enterprise,299.0,2026-01-13,,active
36,531,starter,29.0,2025-12-27,,active
37,547,pro,99.0,2025-04-04,2025-07-31,churned
38,555,starter,29.0,2025-10-10,,active
39,568,pro,99.0,2024-10-15,2025-01-02,churned
40,569,starter,29.0,2025-12-19,,active
41,575,starter,29.0,2025-02-25,,active
42,580,pro,99.0,2025-05-27,,active
43,588,pro,99.0,2025-05-30,,active
44,608,pro,99.0,2025-09-11,,active
45,612,starter,29.0,2025-09-17,,active
46,685,pro,99.0,2025-10-24,,active
47,687,starter,29.0,2025-10-30,,active
48,693,starter,29.0,2025-10-07,,active
49,707,starter,29.0,2025-08-26,2026-01-31,churned
50,714,starter,29.0,2025-09-19,2026-01-31,churned
51,722,starter,29.0,2025-03-31,2025-07-13,churned
52,739,starter,29.0,2026-01-22,,active
53,743,pro,99.0,2025-12-29,,active
54,750,starter,29.0,2025-11-07,2026-01-16,churned
55,761,pro,99.0,2025-12-17,,active
56,783,starter,29.0,2025-04-19,,active
57,802,pro,99.0,2026-01-17,,active
58,804,starter,29.0,2025-08-31,,active
59,806,starter,29.0,2025-04-20,2025-06-14,churned
60,812,starter,29.0,2024-11-07,2026-01-28,churned
61,823,pro,99.0,2025-07-23,,active
62,843,starter,29.0,2026-01-01,2026-01-31,churned
63,859,starter,29.0,2025-08-22,,active
64,895,starter,29.0,2025-03-13,2025-07-03,churned
65,900,enterprise,299.0,2024-10-12,,active
66,918,starter,29.0,2025-10-19,2025-11-21,churned
67,934,enterprise,299.0,2024-11-11,,active
68,945,pro,99.0,2025-04-21,2025-05-25,churned
69,947,pro,99.0,2025-11-07,,active
70,953,starter,29.0,2025-06-21,2025-08-13,churned
71,1001,pro,99.0,2025-09-27,,active
72,1006,starter,29.0,2026-01-20,,active
73,1026,starter,29.0,2026-01-09,,active
74,1043,starter,29.0,2025-06-08,2026-01-21,churned
75,1088,starter,29.0,2025-10-14,,active
76,1136,enterprise,299.0,2025-05-17,,active
77,1146,starter,29.0,2025-05-27,,active
78,1154,pro,99.0,2025-08-02,2025-10-09,churned
79,1162,starter,29.0,2026-02-03,,active
80,1171,starter,29.0,2025-03-18,,active
81,1172,pro,99.0,2025-06-22,2025-12-31,churned
82,1194,starter,29.0,2025-01-12,,active
83,1205,enterprise,299.0,2025-07-13,,active
84,1206,pro,99.0,2025-08-26,,active
85,1251,starter,29.0,2025-08-09,,active
86,1263,enterprise,299.0,2025-06-09,2025-08-16,churned
87,1285,pro,99.0,2025-06-29,2025-09-16,churned
88,1292,pro,99.0,2025-03-18,,active
89,1297,starter,29.0,2025-06-23,,active
90,1310,pro,99.0,2025-10-03,,active
91,1324,starter,29.0,2025-09-12,2025-12-02,churned
92,1333,enterprise,299.0,2025-05-11,2025-08-04,churned
93,1334,pro,99.0,2025-08-10,,active
94,1370,enterprise,299.0,2025-11-16,2026-01-29,churned
95,1373,pro,99.0,2025-10-15,,active
96,1375,pro,99.0,2025-08-21,,active
97,1427,starter,29.0,2024-09-08,,active
98,1432,pro,99.0,2025-07-27,,active
99,1436,starter,29.0,2024-12-01,,active
100,1439,starter,29.0,2025-02-27,2025-12-11,churned
101,1466,pro,99.0,2025-11-02,,active
102,1484,starter,29.0,2025-04-25,,active
103,1488,pro,99.0,2025-03-24,,active
104,1514,enterprise,299.0,2025-06-24,,active
105,1568,starter,29.0,2025-12-14,,active
106,1586,starter,29.0,2026-01-19,,active
107,1598,starter,29.0,2025-04-08,2025-12-09,churned
108,1601,pro,99.0,2025-06-06,2025-12-28,churned
109,1638,starter,29.0,2025-07-13,,active
110,1657,starter,29.0,2025-08-02,,active
111,1705,starter,29.0,2025-12-15,,active
112,1709,pro,99.0,2025-04-08,2025-10-19,churned
113,1725,pro,99.0,2025-10-17,,active
114,1743,pro,99.0,2024-10-02,2025-02-27,churned
115,1744,starter,29.0,2024-11-15,2026-01-24,churned
116,1762,starter,29.0,2025-03-03,2025-10-19,churned
117,1810,pro,99.0,2024-09-15,2025-09-06,churned
118,1818,starter,29.0,2024-12-10,,active
119,1822,starter,29.0,2024-12-23,2025-10-09,churned
120,1833,pro,99.0,2025-04-04,2025-12-27,churned
121,1835,starter,29.0,2025-11-26,,active
122,1855,enterprise,299.0,2024-10-19,2025-10-03,churned
123,1857,pro,99.0,2025-08-13,,active
124,1897,starter,29.0,2025-04-30,,active
125,1907,starter,29.0,2025-03-27,,active
126,1917,starter,29.0,2025-10-08,,active
127,1924,pro,99.0,2025-08-07,,active
128,1952,pro,99.0,2025-09-12,,active
129,1989,enterprise,299.0,2024-12-24,2025-10-29,churned
130,2001,starter,29.0,2025-05-27,,active
131,2013,pro,99.0,2025-08-20,2025-09-21,churned
132,2020,pro,99.0,2024-09-25,2025-04-03,churned
133,2021,starter,29.0,2025-09-14,,active
134,2023,starter,29.0,2025-08-16,,active
135,2029,starter,29.0,2025-06-08,,active
136,2033,starter,29.0,2025-10-26,,active
137,2037,pro,99.0,2024-11-24,2025-04-24,churned
138,2044,starter,29.0,2025-06-07,2026-01-29,churned
139,2046,pro,99.0,2024-11-30,,active
140,2069,starter,29.0,2025-10-09,,active
141,2070,starter,29.0,2025-02-25,2025-05-06,churned
142,2099,enterprise,299.0,2026-01-03,,active
143,2123,starter,29.0,2025-10-20,2026-01-31,churned
144,2137,pro,99.0,2025-12-15,,active
145,2159,starter,29.0,2024-09-12,,active
146,2168,pro,99.0,2025-08-18,2025-12-18,churned
147,2183,starter,29.0,2025-01-01,,active
148,2213,enterprise,299.0,2025-09-09,,active
149,2221,starter,29.0,2026-01-26,,active
150,2224,pro,99.0,2024-11-03,2025-06-21,churned
151,2256,starter,29.0,2024-10-18,2026-01-02,churned
152,2291,starter,29.0,2025-04-04,,active
153,2299,starter,29.0,2025-12-25,,active
154,2306,enterprise,299.0,2024-10-02,2025-10-13,churned
155,2311,pro,99.0,2025-11-28,,active
156,2368,pro,99.0,2025-02-19,2026-01-31,churned
157,2383,starter,29.0,2025-07-03,2025-08-09,churned
158,2395,starter,29.0,2025-03-24,,active
159,2405,starter,29.0,2024-12-10,2025-08-03,churned
160,2420,starter,29.0,2025-10-31,,active
161,2422,starter,29.0,2026-01-09,,active
162,2432,pro,99.0,2025-07-13,,active
163,2438,starter,29.0,2025-12-02,,active
164,2445,starter,29.0,2025-01-31,2025-09-05,churned
165,2447,enterprise,299.0,2025-07-17,,active
166,2449,pro,99.0,2025-03-15,2025-05-28,churned
167,2467,starter,29.0,2025-08-05,,active
168,2469,pro,99.0,2025-06-17,,active
169,2498,pro,99.0,2025-08-21,,active
170,2511,pro,99.0,2025-06-15,,active
171,2516,starter,29.0,2025-04-07,,active
172,2522,pro,99.0,2026-01-06,,active
173,2524,starter,29.0,2024-10-30,2025-07-11,churned
174,2543,starter,29.0,2024-08-09,,active
175,2546,pro,99.0,2025-02-19,2025-04-17,churned
176,2550,pro,99.0,2025-12-24,,active
177,2553,starter,29.0,2025-09-30,,active
178,2604,enterprise,299.0,2025-11-01,2025-12-15,churned
179,2631,starter,29.0,2026-01-13,,active
180,2645,enterprise,299.0,2026-01-27,,active
181,2646,starter,29.0,2025-08-29,,active
182,2657,starter,29.0,2025-12-23,,active
183,2659,enterprise,299.0,2025-10-07,,active
184,2664,enterprise,299.0,2025-09-26,,active
185,2684,starter,29.0,2025-10-20,,active
186,2686,pro,99.0,2025-04-01,2025-07-02,churned
187,2703,starter,29.0,2025-04-13,,active
188,2706,enterprise,299.0,2025-04-22,,active
189,2711,starter,29.0,2025-07-16,,active
190,2729,starter,29.0,2025-05-26,,active
191,2753,pro,99.0,2026-01-15,,active
192,2756,pro,99.0,2025-04-26,,active
193,2796,starter,29.0,2025-12-11,,active
194,2797,starter,29.0,2026-01-23,,active
195,2807,starter,29.0,2025-01-24,,active
196,2826,starter,29.0,2024-11-08,,active
197,2834,starter,29.0,2025-03-28,2025-11-15,churned
198,2839,pro,99.0,2024-11-01,,active
199,2846,starter,29.0,2024-10-13,,active
200,2866,starter,29.0,2024-10-24,2025-06-08,churned
201,2889,starter,29.0,2025-12-11,,active
202,2896,starter,29.0,2025-08-12,,active
203,2907,starter,29.0,2025-11-23,,active
204,2910,pro,99.0,2025-12-09,,active
205,2917,pro,99.0,2024-11-24,2025-02-09,churned
206,2933,starter,29.0,2025-12-28,2026-01-31,churned
207,2941,pro,99.0,2025-09-13,2025-11-15,churned
208,2943,starter,29.0,2025-03-04,,active
209,2950,enterprise,299.0,2025-01-20,2025-09-07,churned
210,2956,pro,99.0,2025-09-07,,active
211,2993,starter,29.0,2025-01-11,2025-05-30,churned
212,2996,starter,29.0,2025-12-01,,active
