user_id,signup_date,acquisition_channel,country
1,2025-02-25,paid_search,US
2,2025-06-25,organic,US
3,2025-10-15,organic,US
4,2025-10-21,organic,IN
5,2025-01-16,organic,CA
6,2025-07-10,content,UK
7,2025-05-15,paid_search,US
8,2025-12-26,referral,US
9,2025-10-28,organic,US
10,2025-11-02,paid_search,UK
11,2024-12-13,paid_social,UK
12,2024-09-26,organic,US
13,2025-06-22,paid_social,AU
14,2024-11-26,referral,UK
15,2025-05-13,paid_social,US
16,2025-06-26,paid_search,US
17,2024-08-31,organic,CA
18,2025-11-03,referral,DE
19,2025-03-03,paid_search,DE
20,2024-12-01,referral,UK
21,2025-06-11,referral,DE
22,2025-05-21,paid_social,US
23,2025-12-25,content,US
24,2024-11-25,organic,US
25,2025-11-25,paid_social,US
26,2025-06-23,organic,US
27,2024-08-10,paid_social,AU
28,2025-12-01,paid_search,IN
29,2025-11-12,organic,US
30,2025-07-15,paid_search,US
31,2025-06-18,organic,US
32,2024-08-15,paid_search,AU
33,2025-12-10,organic,UK
34,2026-01-07,organic,DE
35,2024-12-05,referral,DE
36,2025-01-25,paid_social,CA
37,2024-08-21,paid_search,US
38,2024-09-20,paid_search,DE
39,2025-09-15,referral,UK
40,2024-11-24,organic,AU
41,2024-10-02,paid_search,IN
42,2026-01-20,content,US
43,2025-03-14,paid_social,US
44,2025-06-29,organic,UK
45,2024-10-31,paid_search,BR
46,2025-09-16,organic,UK
47,2025-05-03,paid_search,US
48,2025-05-09,paid_search,BR
49,2024-08-30,content,US
50,2025-10-23,paid_social,US
51,2025-05-10,paid_social,UK
52,2025-11-21,paid_social,BR
53,2025-11-24,organic,DE
54,2024-12-24,organic,IN
55,2024-12-07,paid_search,IN
56,2025-02-19,paid_search,UK
57,2025-12-11,paid_social,DE
58,2025-03-28,paid_social,US
59,2025-04-13,organic,IN
60,2025-10-31,paid_search,US
61,2024-11-10,organic,US
62,2025-08-09,organic,IN
63,2024-08-30,organic,DE
64,2025-07-08,organic,AU
65,2025-06-28,organic,US
66,2025-06-22,organic,US
67,2026-01-24,paid_search,UK
68,2025-11-19,organic,IN
69,2025-08-26,paid_social,US
70,2025-08-21,paid_search,CA
71,2025-09-05,organic,AU
72,2026-01-22,paid_search,US
73,2025-05-10,organic,CA
74,2025-11-08,organic,IN
75,2024-12-28,organic,IN
76,2025-11-04,paid_social,IN
77,2025-09-07,paid_social,BR
78,2025-03-05,paid_social,US
79,2025-07-06,organic,IN
80,2025-10-11,organic,DE
81,2025-06-16,content,DE
82,2025-09-08,paid_social,US
83,2025-03-07,referral,DE
84,2025-11-23,referral,CA
85,2024-12-25,organic,US
86,2026-01-09,organic,CA
87,2026-01-13,referral,IN
88,2025-01-28,organic,AU
89,2025-10-19,paid_search,DE
90,2025-04-07,paid_social,US
91,2025-10-31,content,UK
92,2024-11-30,organic,US
93,2025-12-20,paid_social,DE
94,2025-11-20,paid_search,UK
95,2024-11-10,organic,US
96,2025-06-27,paid_search,UK
97,2024-12-21,organic,IN
98,2026-01-19,paid_social,DE
99,2024-12-11,organic,UK
100,2025-07-28,organic,US
101,2025-06-19,organic,DE
102,2024-11-12,paid_search,US
103,2024-11-23,organic,IN
104,2024-08-26,content,IN
105,2024-12-05,paid_social,US
106,2025-01-29,paid_search,IN
107,2024-11-09,paid_search,US
108,2025-05-04,organic,US
109,2025-11-14,paid_social,US
110,2026-01-10,organic,IN
111,2025-07-04,organic,AU
112,2024-08-03,paid_social,US
113,2025-01-09,organic,US
114,2025-12-28,referral,US
115,2025-04-20,paid_search,DE
116,2025-12-16,organic,DE
117,2026-01-06,paid_search,US
118,2025-08-14,content,US
119,2025-01-13,content,US
120,2025-06-13,paid_search,BR
121,2026-01-23,content,US
122,2025-08-23,organic,CA
123,2025-05-08,paid_search,UK
124,2025-11-06,content,US
125,2025-12-20,paid_social,UK
126,2025-08-27,referral,CA
127,2025-09-21,organic,US
128,2025-03-27,organic,US
129,2025-08-21,organic,US
130,2025-06-19,paid_search,US
131,2025-09-13,paid_social,AU
132,2025-01-17,organic,US
133,2024-08-31,organic,UK
134,2025-05-22,content,AU
135,2025-09-02,paid_social,IN
136,2025-07-25,organic,BR
137,2025-12-15,paid_search,UK
138,2025-06-29,paid_social,CA
139,2025-09-27,referral,US
140,2025-04-05,organic,IN
141,2025-01-27,paid_social,IN
142,2025-12-30,organic,DE
143,2026-01-29,paid_social,UK
144,2026-01-24,referral,IN
145,2025-05-27,organic,AU
146,2024-12-09,organic,UK
147,2025-08-17,paid_social,CA
148,2025-03-11,organic,BR
149,2026-01-03,organic,UK
150,2025-12-09,paid_social,IN
151,2025-08-18,paid_search,US
152,2025-05-17,organic,AU
153,2025-08-28,organic,CA
154,2025-12-12,organic,UK
155,2025-09-11,referral,US
156,2025-01-20,content,UK
157,2025-01-26,organic,US
158,2025-08-19,paid_social,AU
159,2026-01-14,paid_social,US
160,2025-12-21,paid_search,UK
161,2024-11-20,paid_social,AU
162,2025-09-02,organic,US
163,2024-12-12,organic,IN
164,2025-08-01,referral,US
165,2025-12-11,referral,AU
166,2025-11-02,referral,UK
167,2026-01-30,paid_search,US
168,2025-05-04,paid_search,AU
169,2024-12-17,referral,BR
170,2025-03-12,paid_social,BR
171,2025-06-07,content,US
172,2025-04-02,paid_social,UK
173,2025-09-02,paid_search,US
174,2024-09-03,referral,DE
175,2025-06-28,paid_search,IN
176,2026-01-04,paid_social,US
177,2024-07-19,paid_search,CA
178,2025-07-19,referral,BR
179,2025-02-26,content,UK
180,2025-05-24,organic,US
181,2025-12-14,paid_search,IN
182,2026-01-19,content,DE
183,2025-05-25,paid_search,DE
184,2025-05-04,content,UK
185,2025-02-25,organic,IN
186,2025-11-01,paid_search,DE
187,2025-04-30,paid_search,BR
188,2025-11-28,paid_search,US
189,2025-09-11,referral,DE
190,2025-01-31,paid_search,IN
191,2025-09-01,paid_search,US
192,2025-04-16,paid_search,US
193,2025-11-24,paid_search,AU
194,2025-11-07,paid_social,IN
195,2025-11-04,content,IN
196,2025-10-18,organic,IN
